correct,false_negative,false_positive,max_probe_bytes,mean_decision_byte,mean_oracle_regret_bpb,min_projected_gain_bits,persistence_observations,recent_gain_bits,recent_window
11,1,2,64,31,0.008527483258928572,32,8,3,16
11,1,2,64,31,0.008527483258928572,64,8,3,16
11,1,2,64,31,0.008527483258928572,128,8,3,16
11,1,2,64,31,0.008527483258928572,256,8,3,16
11,1,2,64,31,0.008527483258928572,0,8,4,16
11,1,2,64,31,0.008527483258928572,32,8,4,16
11,1,2,64,31,0.008527483258928572,64,8,4,16
11,1,2,64,31,0.008527483258928572,128,8,4,16
11,1,2,64,31,0.008527483258928572,256,8,4,16
11,1,2,64,35.357142857142854,0.008527483258928572,0,2,1,32
11,1,2,64,35.357142857142854,0.008527483258928572,32,2,1,32
11,2,1,64,19.285714285714285,0.032871791294642856,64,2,1,32
7,7,0,64,0,0.08292061941964286,128,2,1,32
7,7,0,64,0,0.08292061941964286,256,2,1,32
11,1,2,64,35.357142857142854,0.008527483258928572,0,2,2,32
11,1,2,64,35.357142857142854,0.008527483258928572,32,2,2,32
11,1,2,64,35.357142857142854,0.008527483258928572,64,2,2,32
11,2,1,64,19.285714285714285,0.032871791294642856,128,2,2,32
7,7,0,64,0,0.08292061941964286,256,2,2,32
11,1,2,64,35.357142857142854,0.008527483258928572,0,2,3,32
11,1,2,64,35.357142857142854,0.008527483258928572,32,2,3,32
11,1,2,64,35.357142857142854,0.008527483258928572,64,2,3,32
11,1,2,64,35.357142857142854,0.008527483258928572,128,2,3,32
11,2,1,64,19.285714285714285,0.032871791294642856,256,2,3,32
11,1,2,64,35.357142857142854,0.008527483258928572,0,2,4,32
11,1,2,64,35.357142857142854,0.008527483258928572,32,2,4,32
11,1,2,64,35.357142857142854,0.008527483258928572,64,2,4,32
11,1,2,64,35.357142857142854,0.008527483258928572,128,2,4,32
11,2,1,64,19.285714285714285,0.032871791294642856,256,2,4,32
11,1,2,64,36.5,0.008527483258928572,0,4,1,32
11,1,2,64,36.5,0.008527483258928572,32,4,1,32
11,2,1,64,20.142857142857142,0.032871791294642856,64,4,1,32
7,7,0,64,0,0.08292061941964286,128,4,1,32
7,7,0,64,0,0.08292061941964286,256,4,1,32
